종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
252650,1,KODEX 200동일가중,11200,2,55,0.49,11245.0,4.188,1,0,67,국내 시장지수,KODEX,False,False,False
226980,1,KODEX 200 중소형,13415,2,90,0.68,13462.0,10.2971,1590,21,67,국내 시장지수,KODEX,False,False,False
139290,2,TIGER 200 경기소비재,16760,2,90,0.54,16823.0,0.2345,366,6,67,국내 업종/테마,TIGER,False,False,False
438900,2,HANARO Fn K-푸드,9545,5,-5,-0.05,9524.0,8.8815,7329,69,67,국내 업종/테마,HANARO,False,False,False
404470,2,HANARO KRX기후변화솔루션,12135,5,-90,-0.74,12207.0,5.4606,5,0,67,국내 업종/테마,HANARO,False,False,False
322130,2,ACE 스마트로우볼,16590,2,40,0.24,16611.0,5.5282,56,0,66,국내 업종/테마,ACE,False,False,False
138920,5,KODEX 콩선물(H),13270,5,-160,-1.19,13252.0,3.5865,447,5,66,원자재,KODEX,False,False,True
279540,2,KODEX 최소변동성,11055,2,35,0.32,11098.0,5.9921,310,3,66,국내 업종/테마,KODEX,False,False,False
176950,6,KODEX 국채선물10년인버스,55120,5,-20,-0.04,55134.0,2.1205,10,0,66,채권,KODEX,True,False,False
371130,4,ACE 베트남VN30선물블룸버그레버리지(H),11015,5,-5,-0.05,11122.0,3.0388,2042,22,66,해외 주식,ACE,False,True,True
402460,2,HANARO Fn K-메타버스MZ,7330,5,-5,-0.07,7325.0,4.0573,462,3,66,국내 업종/테마,HANARO,False,False,False
440910,4,WOORI 미국우주항공방산,13160,2,110,0.84,13132.0,10.406,2047,26,66,해외 주식,WOORI,False,False,False
451150,4,에셋플러스 글로벌영에이지액티브,13125,2,20,0.15,13109.0,8.0824,58,0,66,해외 주식,에셋플러스,False,False,False
292770,6,KODEX 국채선물3년인버스,54670,3,0,0.0,54626.0,1.5133,0,0,66,채권,KODEX,True,False,False
289250,2,TIGER MSCI KOREA ESG유니버설,10925,2,5,0.05,11009.0,6.2877,2,0,66,국내 업종/테마,TIGER,False,False,False
319870,7,KBSTAR KRX300미국달러선물혼합,18700,2,190,1.03,18710.0,9.6239,48,0,65,기타,KBSTAR,False,False,False
117690,4,TIGER 차이나항셍25,14530,5,-160,-1.09,14602.0,25.3947,4378,64,65,해외 주식,TIGER,False,False,False
433880,7,ARIRANG TDF2060액티브,12915,2,90,0.7,12870.0,6.0355,992,12,65,기타,ARIRANG,False,False,False
252000,1,TIGER 200동일가중,11680,2,60,0.52,11725.0,4.3462,3,0,64,국내 시장지수,TIGER,False,False,False
435540,7,히어로즈 TDF2040액티브,12650,2,50,0.4,12625.0,6.1499,220,2,63,기타,히어로즈,False,False,False
307520,2,TIGER 지주회사,10540,2,5,0.05,10570.0,-2.715,9678,101,63,국내 업종/테마,TIGER,False,False,False
298340,6,ARIRANG 국채선물3년,54375,3,0,0.0,54383.0,0.1657,0,0,63,채권,ARIRANG,False,False,False
253160,3,ARIRANG 200선물인버스2X,4065,5,-30,-0.73,4054.0,-11.5551,13163,53,63,국내 파생,ARIRANG,True,False,False
437370,4,KBSTAR 글로벌농업경제MV,8960,2,40,0.45,9001.0,3.4202,6610,59,63,해외 주식,KBSTAR,False,False,False
450180,7,KODEX 한중전기차(합성),8960,5,-55,-0.61,9008.0,9.6715,15,0,63,기타,KODEX,False,False,False
415760,4,SOL 차이나육성산업액티브(합성),5680,2,30,0.53,5779.0,4.0515,1086,6,62,해외 주식,SOL,False,False,False
469530,3,KBSTAR 미국달러선물인버스,9585,5,-40,-0.42,9604.0,-2.4823,39,0,62,국내 파생,KBSTAR,True,False,False
450120,2,KOSEF SK그룹대표주,12395,2,35,0.28,12397.0,5.5508,143,1,62,국내 업종/테마,KOSEF,False,False,False
433870,7,ARIRANG TDF2050액티브,12365,2,205,1.69,12312.0,4.5122,202,2,62,기타,ARIRANG,False,False,False
219900,4,ACE 중국본토CSI300레버리지(합성),2670,5,-25,-0.93,2700.0,25.3488,9786,26,61,해외 주식,ACE,False,True,False
403990,2,KBSTAR KRX기후변화솔루션,12230,2,45,0.37,12232.0,5.1609,6,0,61,국내 업종/테마,KBSTAR,False,False,False
466810,2,BNK 2차전지양극재,8095,5,-30,-0.37,8112.0,-1.5152,4628,37,61,국내 업종/테마,BNK,False,False,False
411860,4,KOSEF 독일DAX,12120,2,245,2.06,12123.0,7.8564,381,4,61,해외 주식,KOSEF,False,False,False
459370,4,SOL 유럽탄소배출권선물인버스ICE(H),12090,2,435,3.73,12111.0,-18.2393,14850,178,60,해외 주식,SOL,True,False,True
143460,2,ACE 밸류대형,10055,2,90,0.9,10062.0,3.867,908,9,60,국내 업종/테마,ACE,False,False,False
291680,4,KBSTAR 차이나H선물인버스(H),12060,2,145,1.22,12077.0,-17.8276,2592,30,60,해외 주식,KBSTAR,True,False,True
266550,2,ARIRANG 중형주저변동50,12000,2,60,0.5,11988.0,7.5869,44,0,60,국내 업종/테마,ARIRANG,False,False,False
